,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
LPE O-18:1,69208,56790,30310,38108,86912,107798,75871,43848,57062,109496,27060,26160,40819,52224,21298,62774,35831,67716,42221,41779,61882,29329,34212,31246,82560,34503,25886,25688,37459,89188,45886,55609,47173,44293,44143,37614,88239,30465,30537,39039,29081,66152,68858,124808,58948,33984,58939,69626,33622,60509,85420,39470,57045,47901,75627,45067,32831,30550,86414,37798,29935,48267,38192,89941,48049,70488,45841,33086,36648,34883,25248,17824,66816,48453,31091,75041,40077,17785,44451,49697,29923,27199,26420,64865,35574,45608,75194,48652,58984,32604,32254,66815,69384,91948,49593,54726,86600,85631,64414,75892,71331,66261,57820,66461,50603,78718,142842,109382,56466,32804,83942,76119,39918,40261,38282,47501,40257,48923,50073,46909,41062,42538,29610,59233,42229,59144,44458,60603,31966,56924,50820,41386,52085,42176,57085,67385,50682,42958,57447,51303,68415,58411,50120,49318,57739,42984,53150,86085,72491,94201,117285,128398,81606,75898,81069,48009,89773,75632,41844,51225,58481,67657,52887,49654,36975,52072,48218,53571,62643,58068,67234,137901,98471,51917,82527,81820,72937,45888,54626,85653,56135,81111,77206,45344,67743,43366,59395,72159,101167,48415,60385,51786,72843,70581,79808,61430,52149,106835,68044,67698,72769,49495,43605,54876,47724,53016,31394,66798,43463,48990,63698,75108,86543,56013,54327,66708,60216,82955,56126,58740,71213,78742,71875,83983,110400,73284,67074,75003,48340,54825,66269,37378,37750,68996,63844,38354,97203,40484,39420,49216,72612,49872,36373,50317,73420,50501,50773,33876,34288,56898,44941,48239,35326,45901,66612,38866,31308,59054,69227,50004,59915,36771,59786,52138,95012,56015,26073
LPE O-20:1,4841,5487,2002,3223,7111,8595,5374,2881,4408,8136,1923,1693,2567,5267,980,6266,2125,6465,3754,4232,4624,3050,2117,2706,6538,2828,2802,2250,2929,8229,4544,5887,4904,4019,5444,3086,5804,2856,2004,3746,1685,6564,5466,8273,4746,3537,5749,5231,3123,6589,7913,4330,6017,4764,4486,4140,2595,2247,6535,4488,1588,5668,4493,5976,3920,7656,4629,3450,2418,5308,2001,1440,5000,2915,2997,6824,3071,796,3806,5499,4536,2703,3163,6663,4241,2778,5450,3551,4335,3505,3239,5619,5563,10506,5481,4972,6789,6818,5894,5964,6837,4710,5217,6200,3956,7099,17285,8669,3119,2375,7356,7373,1463,3802,2399,2859,4308,4596,6164,4634,3590,4332,1306,5316,3034,5774,4370,5759,3618,4897,5367,3869,3965,4108,5147,4977,2597,3856,5577,4586,6272,5429,4729,4293,3336,3413,5351,7665,5840,11405,9885,8612,9575,4564,7533,6183,8747,6322,5753,4577,5332,4784,4674,4494,3468,4425,4449,3751,4927,4715,6118,12480,9429,5236,8459,7165,8486,3927,5804,7948,4478,8190,8595,3092,8413,4354,4288,5950,8428,5468,4062,3891,6684,7470,5026,5023,5916,7850,6554,4585,8499,3880,3829,3675,4593,4794,3391,5544,4669,3553,6837,6847,8591,6161,5894,4659,7272,10064,2110,6707,5038,5970,3838,9188,12169,6840,6409,5760,2977,5373,5445,4505,4922,6072,5607,4250,5400,2853,2922,4092,6967,5176,3524,5339,7526,3481,5009,3544,4750,4761,4493,5597,1331,4340,3910,3105,3672,4337,5082,2733,4493,3420,5815,5046,6318,4963,3002
LPE O-18:2,19343,17860,4755,12440,27465,20433,17008,10147,13651,29626,9866,9055,11044,17366,5828,23747,14460,26639,14087,18135,27307,9391,10876,8233,28318,12296,7248,5577,13669,17883,8140,6195,10953,15145,13658,18218,21919,12048,9940,14307,10036,10577,10255,26359,8290,3891,20961,27716,8894,14771,28429,12677,28286,12264,32297,10590,11801,11107,28142,10610,12731,9916,5154,21974,15408,26859,12533,10131,12047,8186,5539,6480,26608,12273,11032,28528,13213,6147,17549,7499,10718,9286,11406,22896,6281,16875,31423,14523,25027,10228,5783,11927,18866,24261,17886,17848,31673,20391,18199,18811,23809,17344,10583,21425,16356,26746,53185,25414,18189,12521,30173,28612,17719,17586,16663,25375,16180,8956,20768,21246,17813,19201,10949,21913,17507,25998,23626,23094,13349,12371,17395,13040,19786,24180,12525,20994,16987,13102,19821,20928,31971,21737,16210,17333,18385,20696,17873,29897,17319,13706,24373,29852,14885,28407,13969,9522,31830,18582,14650,18554,14051,22852,14130,17361,18405,21037,14861,21543,13058,20235,29639,25635,25250,14094,17896,8698,17068,15494,18855,23469,18258,25937,24941,12784,25685,17478,14987,23188,23889,8055,17879,18570,12727,22488,24733,17791,22053,41153,16842,10888,22801,20008,17008,12635,17570,17617,12754,30586,18978,22568,36754,15436,25258,16387,11637,21440,18435,21239,9337,17631,25883,41348,18892,28432,35205,24000,22334,25044,21191,18932,18445,12458,20801,20046,20778,14468,28289,14630,19172,10575,32944,25236,15663,18705,29907,18001,19873,16582,5983,21433,10553,20264,18856,16023,29571,13521,11231,25452,26435,20080,23229,20959,27696,17597,34174,19555,10088
LPC O-18:1 (ii),11012,14227,10053,14253,17364,15466,9330,7458,11961,20976,7403,8998,11989,9700,7949,14155,6676,17598,11493,13245,12125,7813,8825,8710,13793,7592,5818,7098,11554,19282,11493,15243,14908,15197,14246,10839,7249,7902,8712,11005,7465,18302,11952,10109,15672,8533,15996,18095,8087,17843,19653,12451,13781,14155,15946,12179,8804,7160,20465,10868,6578,10074,9057,11815,8940,18223,11420,8755,10330,10280,5163,5506,11271,11954,11466,19046,12448,4061,10366,11642,8766,5642,5273,13381,7512,10998,20757,15417,12474,13776,21815,16719,17691,25283,12097,13313,20763,16924,13958,16468,19001,16275,16715,21825,13760,20640,37877,24062,9423,9193,25285,14011,10215,11225,14225,7966,11506,13965,11966,13155,13337,10105,9791,14985,10316,12165,13795,13897,6020,15943,15573,10519,11633,11213,14516,14555,13962,10321,11350,14019,20784,14818,16370,11875,11405,8564,13979,18301,15416,22044,18539,25427,19072,15074,12800,23244,19728,15409,12470,9763,14933,15080,11917,8924,8746,11775,13729,10958,15866,10435,15252,25709,13898,12994,19782,12924,17761,16991,11960,16484,8570,17067,15116,8978,12246,17137,16741,14828,22434,10891,13728,10160,15529,16968,24809,13933,13749,20814,12565,12565,16814,13800,11315,12238,9705,9937,11459,14796,7219,21310,18302,13142,19032,8485,12772,12119,14134,22324,14248,10498,16127,19274,23649,42249,23960,16385,12785,14386,10905,10902,11220,8827,16526,18345,15699,10300,24955,11422,10878,10960,29139,13386,11414,14858,10858,14386,10672,15001,17276,10975,9853,17125,6480,11201,13242,9355,9059,14533,16052,7050,18646,10105,12426,11685,13998,12565,4000
LPC O-20:1,19952,35185,28371,16683,32706,24862,16444,12815,22344,26052,17513,21339,22294,42344,24600,25054,14433,38722,22193,21559,23790,21616,14263,19379,22970,21737,15705,18007,31570,39580,16411,24799,22118,23685,28576,32818,24130,20483,13923,19040,12938,22794,17311,18533,31380,16640,26854,25726,19504,40244,30235,21574,43595,24757,31485,13666,19849,15058,33785,21704,16038,20642,18320,21227,17388,25075,21348,15825,17652,22270,16358,13408,27877,27869,20662,35600,16164,15304,29188,23013,22089,13658,24912,28925,10547,25306,28745,23886,27978,39830,50291,29815,30541,38547,30402,30990,35119,35789,25926,34349,44296,28623,35594,52487,25100,71529,70024,39457,18214,16061,32726,30965,18216,17294,30109,16027,35629,30977,34076,27709,22105,34489,24187,29762,26171,26282,33624,20486,23094,36382,26478,23221,20233,18385,23611,32294,22308,13371,26142,25313,56678,28751,39370,38467,16474,22695,30726,36514,25788,32464,18192,34616,31349,21648,16170,59269,52862,18091,25591,26174,22683,22176,20123,27947,19797,26929,31616,31451,24740,21223,27275,21123,26164,22796,28902,28585,36399,27711,22352,29074,21836,31710,29680,21064,33631,36028,33050,20631,42618,25112,23492,19076,19702,37452,32387,21603,29307,31189,19451,30329,31275,27930,30486,29262,20289,30283,28192,33999,15631,55454,60158,16521,23397,20864,15970,27953,24031,34244,24444,20078,29173,48939,32236,48434,53974,40274,29843,27626,18659,34178,9550,17772,33448,31814,35506,19437,39137,17106,19381,31708,49393,24820,28707,18757,26163,21686,24640,52098,48578,31259,24412,30038,19687,32126,28241,22420,21384,27922,28673,13117,30851,29199,25739,27409,45206,23784,16030
LPC O-18:1 (i),51987,60064,40243,49162,75168,42012,33431,32931,43954,85114,44910,47643,44895,66456,52720,63853,47877,90531,45500,70843,82327,46098,40783,46056,65321,43628,45284,31713,62139,83961,36871,52711,53482,57969,54969,67990,43999,49066,34851,48748,40922,48074,40309,48867,80246,40595,72924,79514,48090,55179,85644,47704,95812,46550,107613,41503,55939,38645,100113,54379,48611,41889,40711,44937,37662,78661,46587,43836,47688,44850,40350,37272,72741,48669,51138,95149,51606,36580,66375,66529,41950,27945,44244,85561,32064,69046,97886,62249,78680,134898,136730,57864,72751,83700,54500,59346,107024,83529,67633,74096,75278,61689,83388,96809,63969,145559,178643,80073,48920,42810,112732,63391,54755,48522,66298,52978,67945,72333,82673,74796,65917,69762,48417,68426,65073,68539,127206,48403,62484,78261,63642,50246,61875,64328,68330,66040,57320,39535,59693,65616,161732,67060,86633,59130,66149,58456,59333,85908,59102,62331,55430,72507,57595,66108,41272,139060,144075,50808,57909,50935,59618,58456,44405,60326,46227,71005,70053,66154,64390,57637,85951,74720,59553,51658,58625,26244,80194,57595,36136,77899,51084,76881,81983,46675,68360,108784,106332,53470,79087,49613,56368,56514,50411,75911,85261,48440,74463,88668,49460,68434,75472,75052,70150,61534,55123,69787,60417,89049,43736,130373,160008,48441,72682,57884,55439,59303,61559,83676,52436,27336,66674,146683,109719,154264,121674,87125,69704,75043,54085,65777,47165,45870,162823,66467,72994,52218,98392,56983,58285,72879,124911,65653,62300,48866,70950,61261,65284,106374,107687,62023,65340,69728,56455,72016,87530,57387,60616,75618,106639,43007,94196,78581,81146,57593,96398,61429,36595
LPC 19:0 (i),10783,13472,8840,14952,15448,11892,9823,16926,12417,28625,11200,8613,12038,9621,8464,16851,7691,13993,13338,12143,13095,8934,8517,12040,16774,9639,9544,8447,14527,30748,18723,20834,19360,15569,12735,9938,8424,11586,8652,17566,14781,23537,14565,13849,15801,8378,18194,19933,11851,16728,19437,9877,16908,12916,13458,14495,11298,10941,20240,14653,9358,23163,17343,10092,11886,25061,16672,10311,11233,13297,5156,8416,12958,9921,9908,17448,13380,5960,15119,17669,9257,9101,7891,20932,13768,12240,18636,14817,12817,23483,22765,16494,15871,38128,15010,20151,34407,14916,24923,19906,18298,21712,15772,15804,16054,19947,40056,34550,10214,8946,23793,17813,10066,10821,11278,8183,14878,14925,16153,19027,13688,15167,8535,16879,12627,14983,20726,13533,10176,14454,15429,12550,15451,11493,11650,13601,14789,15544,14088,13833,29614,16138,20219,7522,16257,9352,13007,25273,20048,18424,23148,23723,28656,15050,12615,27196,21854,17511,12557,17027,23433,17590,10043,13145,8422,10346,16332,9307,15055,9077,11856,49107,17227,17893,22887,25265,25172,13841,16234,22355,9785,17060,24066,8527,19920,25646,20529,14972,25672,15136,16408,14335,11876,18251,20686,11449,14817,21321,16486,17618,22698,13805,11727,11516,16328,11906,10821,17762,11352,18574,41698,18086,19044,22742,20483,17563,17849,27249,10883,12813,17070,19843,24302,51402,38917,22036,16774,23886,14373,15325,17040,12211,20287,19854,18553,5877,34450,9808,11100,12976,25118,13331,14866,13191,16147,15003,15913,17667,13074,10851,7807,18170,10843,12201,11974,10937,15519,18377,21187,10781,18925,14349,17854,13415,15049,13491,6783
LPC 20:0 (i),20733,20617,13196,21168,32462,24407,21513,20472,19488,43019,14357,14100,12773,16664,14443,21480,14557,20491,22201,26371,19990,17458,14981,20247,27912,16773,14621,10055,19136,50480,33993,32662,32193,25621,23509,19422,22152,18276,12759,26109,18844,33376,23131,31937,25019,15480,30127,31907,20211,28258,34556,18977,29878,20252,21363,28541,17386,17545,29082,22765,12200,31105,30207,18719,19039,36039,25957,18883,20351,23575,15422,13009,19758,14265,16154,27681,23883,14143,19842,22202,16512,10974,14732,31389,20911,23160,25749,21046,23035,43538,30893,34396,33423,56503,25416,30075,55243,24284,32625,34970,34110,27749,32012,28792,27097,48394,72540,45137,18231,17640,41037,28952,14929,22734,18534,12995,22983,23849,21212,33447,25268,22535,13740,24778,16933,23649,31934,20109,17970,22031,22714,16877,18984,21198,22359,22278,24057,24579,27276,23385,43032,26390,29799,11752,25776,21367,18340,36852,28955,46227,55081,42118,55939,24278,21247,40511,42977,40706,34639,30462,30293,27302,16385,22776,21591,20809,27623,17584,23984,24142,22407,93318,45622,40215,42610,40337,34559,21769,24831,36797,21683,38853,37984,17330,46076,41442,37932,26023,30909,32221,22361,24389,27625,42732,33369,18297,29299,36379,28837,25228,34056,25692,24989,23219,18226,19573,20555,34818,28103,21699,86869,34953,31878,56385,44255,30976,36173,49462,17616,24765,30562,33902,40946,73120,59221,39156,25142,35947,26156,25585,34973,16637,30856,23699,32119,8837,56620,22034,21021,21431,40918,31810,28635,24076,30982,17805,25657,21169,24125,18121,15302,28873,19955,20227,23586,21956,26738,24694,33935,17517,38102,23600,32450,16582,31551,16004,12498
LPC 19:0 (ii),3092,6542,2497,5095,3996,3707,1837,5433,3803,10022,1755,2442,5416,2875,1182,3169,3857,4793,6515,1531,4858,677,1084,1453,6827,3043,3113,2663,6298,10765,5066,6285,5044,4642,5384,3243,975,2941,1060,6899,4930,7519,2474,4142,2722,729,5215,7395,3403,4281,7423,999,5683,3659,3962,4102,2793,3292,6726,4996,4137,7571,5348,3630,4931,8477,6111,2215,3720,2562,1692,2404,5474,3600,1545,5373,5081,756,5106,4746,3069,2290,1979,5852,5216,1864,5955,5434,3094,7838,5202,4844,5242,12422,6632,6960,10809,4610,6916,5693,3428,9085,5973,4615,5734,5456,12704,15738,2890,1407,8296,5792,1218,3801,7016,2422,3034,4398,7377,5894,3569,4478,3844,5744,3851,5337,7863,4027,3428,5427,5953,5401,5718,3510,15236,2042,3227,4530,5198,4562,7578,4602,5583,2511,3819,1686,5125,12353,5998,4491,3903,6965,7272,4731,4328,6687,5083,4713,3488,4194,4597,3293,3894,2248,1396,2173,2908,2538,4379,1749,3402,18399,5965,3842,2567,4310,6844,4346,4482,6941,2505,2610,6869,1185,4607,5675,5927,4899,9049,3504,22778,5750,1862,5498,8066,4001,3155,4666,4537,7856,7009,2119,2941,3848,6437,3997,2619,5528,3745,6642,14202,2326,7403,5730,4717,5667,3953,5639,3822,3980,6605,8114,3130,13733,11630,4497,5278,9499,5201,3118,4080,3383,5310,8174,6408,791,10467,2462,2501,4636,8337,5236,4745,2909,3878,6695,4875,5379,3776,2829,1831,4316,3345,3740,3838,2967,2115,7992,6079,2355,5804,3386,4566,4743,5130,3477,1230
LPC 18:1 (i),1391902,1588827,1188767,1761831,1795916,837746,1047924,1142371,1085135,1999475,1195934,1071096,1174002,1104079,1056354,1611075,1171730,1823871,1812069,1205498,1506216,1095754,1143008,1346462,1830744,1256611,1082702,1295750,1532265,1876670,1087514,1299800,1630003,1678534,1665980,1430220,1053093,1216733,1104495,1811833,1414420,1156813,986544,1101204,1596095,1225434,1822236,2030713,1266161,1238242,1689794,995191,1731699,1351336,1320819,1563908,1415613,1318080,2133298,1584192,1139915,1886064,1053438,1106996,1034054,2376236,1595617,1335733,1428899,1195317,1062881,1024868,1264675,1053099,1462033,1992737,1670032,1073564,1512762,1719703,1324582,1109944,1035245,1962124,1854632,1533153,1683330,1998515,1419120,2200052,1983731,1801412,1949263,2496245,1415372,1612855,3314362,2449227,1856745,1684792,1654496,1821351,2079647,1929154,1595481,2391098,1931075,2416364,1183745,1286145,2549204,1747611,1665298,1037015,1252118,1013400,1308000,2319869,2461126,1952188,1868602,1724595,1202565,1682527,1416204,1663441,3443472,1389444,1365578,1804360,1799837,1342548,1314070,1638418,1868561,1469285,1625379,1398750,1434419,1402086,3298794,1612954,2302679,1352320,1760445,1685164,1494419,2402302,1386226,1718511,1378364,1747867,1297344,1722028,1162040,2574993,3182678,1291155,1780315,1271015,1346905,1538840,1219572,1487689,1109082,1799855,1416281,1781929,1646195,1392082,1486184,3523888,1724342,1437396,1965866,1121476,2089151,1683511,1374602,1621058,1309126,2248396,1865833,1084525,2024013,2845282,2601338,1124258,1754964,1215808,1464154,2179478,2022495,1868325,1860379,1301499,1534020,2590675,1664322,1525055,2125816,1834605,1279773,1581781,1900519,1334365,1534752,1867242,2101332,3035250,3476392,1303796,2091330,2029928,1436574,1717512,1477572,2129265,971638,1552059,1693768,2673475,2897006,3611858,2472263,2051681,2345528,2020543,1573393,1562298,1427483,1309894,2857536,1739663,1961826,779201,2390342,1267801,1533845,2655752,2609426,1950770,1740273,1738474,1602924,1390810,1653924,1967423,2555351,1674052,1168242,1578231,1500680,1679998,1907413,1684704,1484867,2030858,2277469,1475405,2156272,1970318,2198865,1369469,1955767,1735331,1094126
LPC 18:1 (ii),168446,194119,149348,216555,228167,107670,129202,151223,144904,253482,154319,145639,153851,143842,145482,216546,165988,238620,240014,152565,182731,138816,143420,171426,217910,145666,135474,163767,189191,218548,140528,161123,205977,209591,206846,181153,129352,154798,140609,227629,174608,143830,119697,139189,195426,148709,232636,256108,158097,152766,208697,128854,217355,178492,165594,192305,171269,164156,256751,194285,150144,234359,137386,141293,135083,281123,206962,164165,169517,148109,141648,126625,162289,132443,177624,233354,206096,139344,191550,207556,159522,140326,132746,227127,233605,184484,194633,247179,169379,271084,243357,223212,247572,296812,177577,201703,401359,294945,230222,207538,200497,219341,258760,247735,200477,301810,482628,304326,153053,166050,323107,227186,216485,142035,164746,130203,175299,291886,312605,258701,234190,220758,153880,223884,190355,216794,433692,182203,172117,231283,228662,168612,164969,209354,236236,175301,198788,174986,176099,168124,401095,201055,273751,171465,218699,207028,187468,300332,178110,210113,165838,218671,159618,204748,142899,322453,406001,160890,230297,155701,173889,184928,145995,187978,142801,225289,182397,221430,202869,177944,184859,418839,222156,175420,235187,137091,248374,206182,177375,204839,163811,270320,233132,136499,243259,340267,310624,144253,214989,155585,183077,287861,264425,232466,243349,170767,195833,317860,211932,195828,270931,222867,161805,196247,243216,160712,196698,228870,261002,354752,450707,156041,245226,251413,186974,213300,188153,256939,119915,198378,211549,319621,349011,433279,298752,245132,271362,246915,196508,189936,188392,173244,359874,216295,251352,105452,296446,163370,197078,335248,316706,227632,213136,209517,204871,181622,213267,246478,310812,208168,154725,198857,192816,205865,229307,210467,174957,250699,275073,178846,266119,237362,275279,170912,234198,204340,141170
LPC 20:0 (ii),24354,25796,14025,21331,26469,25251,24456,31890,16555,33775,17737,14736,11278,19282,13196,20271,16491,18881,23002,29445,22241,19500,16050,16086,23506,30948,13398,18409,17443,32634,26860,22615,31920,35510,22740,21800,21631,18822,13593,30021,22834,29735,15941,27173,21815,16094,30086,34084,24889,23862,30893,19348,28222,19091,22406,27461,17919,23542,32557,27878,16127,45891,19954,16642,17988,41326,30850,17899,21530,19682,16929,16922,24656,20077,23901,34952,24911,15805,20054,22547,19313,16700,19767,37655,25614,26910,26637,24289,25648,97975,29457,30876,38338,54195,27861,28444,66282,32347,46292,34468,45179,31555,29031,25000,24437,67505,92902,45117,14803,21449,43410,27462,16851,21767,28759,12157,24738,39207,21916,29133,29564,24927,18958,26740,26945,35541,63623,22315,26133,26358,25977,18398,17049,38066,21587,22923,39289,29772,30837,25539,48145,24595,30613,22862,21360,23151,24623,55598,22906,26597,54508,28609,38514,33974,27770,75892,65551,36566,47917,24246,32707,27675,21918,24917,41935,36564,25740,31357,37262,29170,32440,94834,57073,40487,47518,33028,54040,22921,28323,29973,27897,34900,40935,21208,56654,62311,63036,36077,28821,31727,23651,37381,26260,40872,52257,27893,51089,55951,23349,30138,37342,30446,26074,37109,37357,29360,32248,35017,44019,46663,161009,29226,33449,40471,41312,27433,36181,32390,21744,22616,25596,47534,50275,69457,71114,32608,28137,30228,28898,30008,38204,16565,35725,26270,42195,16879,76486,34116,32212,33750,49935,33905,39959,28004,48541,17653,39412,36628,47926,25443,33094,45573,40694,23699,39912,30434,43377,31495,50343,35583,64324,31702,64233,19268,51687,29991,22827
LPC 24:1,15154,14874,16790,20620,15224,11478,11579,9008,16157,16174,10647,7946,10515,9573,11190,12102,8598,17332,16642,10612,9498,12561,12550,9048,14671,10552,9875,10527,15347,13982,12286,15995,17324,17536,19945,23719,9662,10984,9968,17004,13786,19709,9866,10297,15477,10109,17587,19645,18287,16851,19480,11697,27925,15055,7995,12918,9457,12127,15671,14726,13294,16441,12605,10385,10378,16015,15414,12274,12757,16904,9363,11713,10610,14695,15434,16858,15873,10015,14161,16960,14686,10809,12310,13130,18217,11360,16017,19018,12154,16123,31366,18743,14770,26712,15670,22772,31318,23566,18489,17590,18317,20128,17274,22121,21358,39558,44724,27494,9243,10157,36583,17623,12335,11334,12467,10803,18127,14795,16163,26615,13366,18050,8361,13661,11794,13836,29448,13682,7621,19146,17670,14184,9025,20149,13643,14465,12209,12403,12652,16467,30827,16731,24802,15163,9726,10367,15188,27768,12361,12800,19765,17948,20999,14059,10373,36659,42486,16017,11517,16937,13870,9706,11110,15403,10692,14047,20172,12297,13523,9110,13207,33493,20757,15041,18056,9803,29998,15131,20821,18299,8879,15320,13485,11466,46398,24540,25403,15398,21785,12603,15108,15150,17072,17105,18405,13456,29174,17129,13920,14941,20480,21536,13177,13645,10538,13054,15928,21943,16959,24690,92876,11398,15217,11388,12553,19018,14866,16525,14250,19355,19897,31273,25034,38835,32963,20659,16684,21935,15525,14743,8834,12448,32997,17154,25762,8197,24402,23663,16883,17677,28560,15141,21691,17112,22680,14222,12118,19386,35836,13993,16857,29839,18678,13506,16713,12271,15997,26400,20071,10582,30840,20868,20567,15357,24582,10642,10234
